feature,importance
Z,128
peak_time_spread,112
i_decay_rate,110
peak_delay_g_r,100
g_decay_rate,97
r_flux_p25,96
g_det_duration,92
r_flux_skew,88
r_det_duration,87
color_peak_r_i,76
u_time_span,74
r_decay_rate,71
color_peak_u_g,71
detection_time_span,68
g_rise_time,66
u_flux_p90,66
r_flux_p10,61
g_flux_min,61
r_rise_rate,60
i_err_std,60
r_err_std,60
g_trend_r2,59
u_err_std,58
i_det_duration,57
u_flux_skew,56
u_snr_max,56
u_cadence_mean,56
i_time_span,55
z_decay_rate,54
u_trend_r2,53
i_cv,51
color_peak_i_z,51
z_trend_r2,51
g_flux_p10,50
i_variability,50
r_cv,49
u_flux_median,49
r_err_mean,49
z_cadence_std,48
g_flux_skew,47
color_peak_z_y,46
r_flux_median,46
g_err_std,46
EBV,45
z_flux_p25,45
z_flux_kurtosis,45
r_flux_min,45
r_time_span,44
g_cadence_std,44
z_flux_p10,44
color_g_r,44
color_peak_u_r,43
u_flux_kurtosis,43
r_flux_kurtosis,43
g_err_mean,43
i_trend_r2,42
g_cadence_mean,42
z_err_std,42
y_flux_skew,40
i_flux_p10,40
r_flux_iqr,40
g_flux_kurtosis,40
color_u_g,40
y_flux_p25,40
i_flux_iqr,40
z_flux_skew,39
z_flux_min,39
g_rise_rate,39
y_err_mean,39
color_r_i,39
g_peak_time_rel,38
g_decay_time,38
u_cadence_std,37
g_frac_above_mean,37
i_rise_time,37
z_time_span,37
y_cadence_std,37
mean_variability,36
blue_fraction,36
r_frac_above_mean,36
r_cadence_mean,36
r_rise_time,36
y_err_std,36
g_flux_iqr,35
u_flux_iqr,35
color_i_z,35
i_frac_above_mean,35
z_err_mean,35
i_flux_min,35
u_flux_min,34
z_peak_time_rel,34
r_trend_r2,34
r_decay_time,34
i_decay_time,34
z_cadence_mean,33
u_flux_mean,33
u_err_mean,33
g_cv,33
u_flux_p25,33
z_trend_slope,33
y_flux_p10,33
g_time_span,33
u_dominance,32
i_flux_kurtosis,32
i_peak_time_rel,32
y_cadence_mean,32
y_flux_min,32
u_trend_slope,32
color_u_r,31
i_cadence_std,31
y_flux_kurtosis,31
y_flux_p75,30
color_g_i,30
u_snr_median,29
y_cv,29
y_det_frac,29
u_flux_p10,29
u_flux_p75,29
y_flux_p90,28
g_fraction,28
color_z_y,27
y_trend_slope,27
u_cv,27
z_snr_median,27
y_time_span,27
color_peak_g_i,27
peak_delay_u_r,27
z_flux_iqr,26
max_variability,26
g_flux_p25,26
g_residual_std,26
total_time_span,26
i_flux_p75,26
y_trend_r2,25
z_frac_above_mean,25
g_variability,25
z_rise_time,25
color_peak_g_r,25
i_trend_slope,25
i_flux_p25,25
i_flux_skew,25
i_snr_max,25
i_err_mean,24
i_cadence_mean,24
color_peak_u_i,24
u_flux_max,24
y_peak_time_rel,24
y_flux_iqr,24
u_snr_std,23
y_flux_std,23
z_cv,23
z_flux_p75,22
i_det_frac,22
r_variability,21
i_flux_p90,21
y_snr_median,21
z_rise_rate,21
y_snr_mean,21
z_flux_p90,21
r_trend_slope,21
z_flux_median,21
r_peak_time_rel,20
r_det_frac,20
z_flux_mean,20
y_snr_max,20
y_flux_range,20
y_flux_mean,20
r_flux_max,20
g_n_obs,20
y_frac_above_mean,20
z_flux_diff_std,20
g_flux_std,20
i_rise_rate,19
g_flux_p75,19
y_flux_diff_mean,19
g_det_frac,19
g_snr_max,19
r_snr_median,19
r_cadence_std,19
u_decay_rate,18
g_trend_slope,18
u_flux_diff_mean,18
z_snr_mean,18
i_flux_mean,17
u_fraction,17
z_decay_time,17
u_flux_std,17
z_flux_diff_mean,17
u_flux_diff_std,17
u_snr_mean,17
r_flux_diff_mean,17
i_snr_median,17
r_flux_std,16
r_rms,16
i_flux_median,16
z_det_frac,16
r_n_obs,16
g_snr_mean,16
z_variability,16
z_det_flux_mean,16
y_flux_max,16
g_det_flux_mean,15
g_snr_median,15
color_u_i,15
r_det_flux_mean,15
z_n_obs,15
r_snr_std,15
u_flux_range,15
z_det_duration,15
total_observations,15
g_flux_diff_mean,15
y_snr_std,14
total_detections,14
i_snr_std,14
z_flux_std,14
r_flux_range,14
i_det_flux_mean,14
i_flux_diff_mean,14
y_flux_diff_std,14
g_flux_diff_std,13
r_residual_std,13
y_flux_median,13
r_snr_max,13
g_flux_p90,13
u_frac_above_mean,13
i_snr_mean,13
i_n_obs,13
r_det_flux_max,13
g_snr_std,12
r_flux_p75,12
u_n_obs,11
r_flux_diff_std,11
i_rms,11
y_residual_std,11
i_n_det,11
g_flux_median,11
z_snr_max,10
i_det_flux_max,10
r_n_det,10
g_flux_max,10
u_rise_rate,9
r_flux_mean,9
u_det_frac,9
z_snr_std,9
r_flux_p90,9
y_rise_rate,8
z_rms,8
i_flux_std,8
u_residual_std,8
i_flux_diff_std,8
r_snr_mean,8
i_flux_range,7
i_residual_std,7
u_decay_time,7
y_rise_time,7
z_flux_range,6
g_rms,6
z_det_flux_max,6
y_det_duration,6
g_flux_mean,6
z_peak_flux,5
y_n_obs,5
g_n_det,5
g_flux_range,5
y_decay_rate,5
y_decay_time,5
z_flux_max,5
blue_red_ratio,5
z_n_det,5
i_flux_max,5
u_det_flux_mean,5
u_peak_time_rel,5
u_n_det,4
u_variability,4
g_det_flux_max,4
z_residual_std,3
u_rise_time,3
y_det_flux_max,3
y_variability,2
u_det_duration,2
r_peak_flux,2
y_rms,2
peak_band_is_g,2
i_peak_flux,1
y_det_flux_mean,1
peak_band_is_blue,1
u_rms,1
u_peak_flux,1
g_peak_flux,1
y_peak_flux,0
peak_band_is_u,0
y_n_det,0
u_det_flux_max,0
n_bands_detected,0
